entid,CaseType,Probability,lime
26579024,4,[0.07040858 0.39209277 0.09937636 0.43812229],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
919427173,3,[0.01478268 0.01395376 0.00691799 0.96434557],"[('tax_dum <= 0.00', 0.2072271238188574), ('honor_num <= 0.00', 0.1688119865205181), ('registertype <= 8.00', 0.15046440055082638), ('taxtype6 <= 0.00', -0.1470715565803161), ('BUSST > 11.00', 0.14293163760374647), ('certificate_num <= 0.00', 0.13080384435180634), ('EXENUM <= 0.00', 0.12072777385291172), ('taxtype5 <= 0.00', 0.11411544495097496), ('taxtype3 <= 0.00', 0.08738360952499596), ('so1 <= 0.00', 0.07789490635089237)]"
378152213,3,[0.01369572 0.27078635 0.03295778 0.68256015],"[('region_id > 348.50', 0.1894730689363195), ('BUSST > 11.00', 0.16888451330715398), ('registertype > 8.00', -0.15748153784183938), ('taxtype0 <= 0.00', -0.14968073628155526), ('certificate_num <= 0.00', 0.13154518691349762), ('honor_num <= 0.00', -0.10146271052806442), ('taxtype4 <= 0.00', -0.0912147480563546), ('taxtype1 <= 0.00', -0.08422409053060849), ('ttype_abnormal_2 <= 0.00', 0.0787349417777976), ('taxtype6 <= 0.00', -0.06610764249949114)]"
703724512,1,[0.05216765 0.77975079 0.07862217 0.08945939],"[('0.00 < BUSST <= 9.91', 0.1438762520972048), ('registertype > 8.00', 0.11424371747515469), ('INDUSTRYPHY <= 10.00', 0.11093847612731766), ('web_dum <= 0.00', -0.0999822841107312), ('taxtype3 <= 0.00', -0.09125007375532043), ('taxtype5 <= 0.00', -0.08914491768129637), ('EXENUM <= 0.00', -0.08320015128361444), ('tax_dum <= 0.00', -0.08280549803555648), ('honor_num <= 0.00', -0.054015153786031014), ('taxtype0 <= 0.00', -0.04729451516608033)]"
385021799,3,[0.01617939 0.01607261 0.00789614 0.95985186],"[('taxtype2 <= 0.00', -0.1877296446342324), ('BUSST > 11.00', 0.18556342512865917), ('registertype <= 8.00', 0.15343553430901571), ('taxtype3 <= 0.00', -0.13320804764431762), ('certificate_num <= 0.00', 0.12892968708936053), ('so1 <= 0.00', 0.07950467347017615), ('tax_dum <= 0.00', 0.0776747379442166), ('honor_num <= 0.00', -0.0710188013725774), ('LIMPARNUM <= 0.00', -0.06662770594224587), ('taxtype0 <= 0.00', -0.06070176246636255)]"
819293628,3,[0.01933167 0.0478933  0.01374388 0.91903115],"[('BUSST > 11.00', 0.18848558459831202), ('EXENUM <= 0.00', 0.18415399834232538), ('region_id > 348.50', 0.17850012350353786), ('tax_dum <= 0.00', 0.17584524969605067), ('registertype > 8.00', -0.15292240032596008), ('taxtype4 <= 0.00', -0.14773750208384068), ('taxtype1 <= 0.00', -0.1391838385144536), ('LIMPARNUM <= 0.00', -0.12965101209722668), ('taxtype3 <= 0.00', 0.1246469614822178), ('honor_num <= 0.00', -0.0885477859635884)]"
1122027783,1,[0.09945623 0.64504292 0.08503422 0.17046663],"[('0.00 < BUSST <= 9.91', 0.1407757652558279), ('INDUSTRYPHY <= 10.00', 0.12686929193143964), ('registertype > 8.00', 0.11290168308386418), ('taxtype0 <= 0.00', 0.09709549519331281), ('region_id > 348.50', -0.0733170486122439), ('web_dum > 0.00', 0.0591193861651559), ('TRANSAM_delta <= 5.49', -0.05830053660760573), ('taxtype2 <= 0.00', 0.044496027883920375), ('ALTTIME > 9.00', 0.042702923402971896), ('ttype_abnormal_2 <= 0.00', 0.040392135074535505)]"
489884570,1,[0.0635523  0.60533057 0.06958591 0.26153123],"[('0.00 < BUSST <= 9.91', 0.14266754619137845), ('INDUSTRYPHY <= 10.00', 0.1313161175115531), ('registertype > 8.00', 0.09426674120844382), ('tax_dum <= 0.00', 0.08230279688106892), ('honor_num <= 0.00', -0.07672780296200576), ('region_id > 348.50', -0.07541958187541739), ('taxtype5 <= 0.00', 0.062260233852510546), ('EXENUM <= 0.00', -0.062236128396565185), ('web_dum <= 0.00', -0.06033137527923497), ('taxtype2 <= 0.00', -0.05271587051533985)]"
327016284,3,[0.00876175 0.01906727 0.01532429 0.95684669],"[('taxtype0 <= 0.00', -0.19770561191057184), ('BUSST > 11.00', 0.181365726261533), ('region_id > 348.50', 0.1756397100248224), ('LIMPARNUM <= 0.00', -0.1587752671675567), ('registertype > 8.00', -0.14517132952729916), ('taxtype3 <= 0.00', 0.12849410659109578), ('certificate_num <= 0.00', 0.11726659777768147), ('taxtype2 <= 0.00', -0.10015582242902939), ('TRANSAM_delta <= 5.49', -0.09169909229670212), ('honor_num <= 0.00', -0.06988359513736264)]"
1215309197,3,[0.08882897 0.32080388 0.06487834 0.52548881],"[('0.00 < BUSST <= 9.91', -0.31488554426275467), ('registertype <= 8.00', 0.1657382064857435), ('certificate_num <= 0.00', 0.1272009838544212), ('taxtype3 <= 0.00', -0.09579626046246716), ('taxtype0 <= 0.00', -0.09560387571314609), ('cancel_dum <= 0.00', 0.08394024443579653), ('so1 <= 0.00', 0.08336801680640112), ('taxtype4 <= 0.00', 0.07943173574445236), ('taxtype1 <= 0.00', -0.058406046889947535), ('PROGRO <= 3076.90', 0.05251023806375893)]"
483199023,3,[0.02892716 0.2144679  0.01612868 0.74047627],"[('region_id > 348.50', 0.18617385784102333), ('BUSST > 11.00', 0.1571506196048202), ('registertype > 8.00', -0.14676123095135502), ('tax_dum <= 0.00', -0.12496721789429988), ('certificate_num <= 0.00', 0.12431766475761713), ('EXENUM <= 0.00', 0.10927605897874733), ('ttype_abnormal_2 <= 0.00', 0.10164997809707638), ('taxtype1 <= 0.00', -0.09281969513022809), ('taxtype2 <= 0.00', -0.0893799737045449), ('taxtype6 <= 0.00', -0.046501767186700294)]"
1127471433,3,[0.00791307 0.04742668 0.01174009 0.93292017],"[('taxtype6 <= 0.00', 0.1982097793470639), ('region_id > 348.50', 0.1937219267122734), ('BUSST > 11.00', 0.15912230283686554), ('registertype > 8.00', -0.15761374614201978), ('tax_dum <= 0.00', 0.15460199441356123), ('taxtype1 <= 0.00', -0.14365168373616066), ('taxtype2 <= 0.00', 0.13668534823622847), ('taxtype4 <= 0.00', 0.1344242568375183), ('taxtype0 <= 0.00', -0.11859216385815702), ('taxtype3 <= 0.00', -0.05264054578734273)]"
1146738440,3,[0.01094506 0.02605356 0.01165826 0.95134311],"[('honor_num <= 0.00', 0.17223215886880824), ('region_id > 348.50', 0.17033443820315397), ('registertype > 8.00', -0.16897191089432853), ('taxtype0 <= 0.00', 0.15971788583678226), ('BUSST > 11.00', 0.15659232737686296), ('certificate_num <= 0.00', 0.12228724766428985), ('illegad_num <= 0.00', 0.11284432308947487), ('taxtype6 <= 0.00', -0.08176333040879079), ('taxtype3 <= 0.00', 0.07833527410705275), ('province_1 <= 0.00', 0.05309602571896279)]"
131029626,3,[0.01581669 0.03555575 0.00900301 0.93962456],"[('taxtype5 <= 0.00', -0.2047424767807284), ('region_id > 348.50', 0.17628114408043855), ('taxtype6 <= 0.00', 0.16717246128775448), ('LIMPARNUM <= 0.00', -0.16521127822163956), ('registertype > 8.00', -0.1572305714252366), ('taxtype2 <= 0.00', -0.1563494608363833), ('BUSST > 11.00', 0.14487882145659814), ('honor_num <= 0.00', 0.13445304777809122), ('certificate_num <= 0.00', 0.13433026236737125), ('tax_dum <= 0.00', 0.12064681972833827)]"
772956251,3,[0.01268792 0.04808932 0.05761421 0.88160855],"[('9.91 < BUSST <= 11.00', 0.2993968707618606), ('region_id > 348.50', 0.18189112144677227), ('registertype <= 8.00', 0.1595652253772929), ('taxtype3 <= 0.00', -0.14920808632910965), ('EXENUM <= 0.00', 0.1373857558237485), ('certificate_num > 0.00', -0.12914487558672672), ('PROGRO <= 3076.90', -0.11152457798587191), ('taxtype6 <= 0.00', -0.10688134319531056), ('taxtype4 <= 0.00', 0.09503525391865984), ('taxtype2 <= 0.00', -0.08782973056950913)]"
411962833,3,[0.09261729 0.03185152 0.01646308 0.8590681 ],"[('0.00 < BUSST <= 9.91', -0.3224988365418187), ('registertype <= 8.00', 0.16315278093856364), ('EXENUM <= 0.00', 0.13812942583622814), ('certificate_num <= 0.00', 0.11930604224985525), ('taxtype1 <= 0.00', -0.11364345226033559), ('taxtype3 <= 0.00', -0.07306905505374467), ('so1 <= 0.00', 0.07216640181223674), ('ttype_abnormal_2 <= 0.00', 0.0691153197735247), ('PROGRO <= 3076.90', 0.05391702612657561), ('tax_dum <= 0.00', 0.016831981568348992)]"
820505508,3,[0.00721894 0.01677295 0.01240855 0.96359956],"[('BUSST > 11.00', 0.19325183459098733), ('PROGRO <= 3076.90', -0.18500317851623918), ('region_id > 348.50', 0.17688598063888952), ('EXENUM <= 0.00', 0.16247830758301587), ('registertype > 8.00', -0.1487102328403141), ('certificate_num <= 0.00', 0.13120011760889289), ('tax_dum <= 0.00', -0.13060085044575495), ('taxtype2 <= 0.00', -0.12569691296303087), ('TRANSAM_delta <= 5.49', 0.09076763471617617), ('taxtype6 <= 0.00', -0.07817585050356919)]"
419002190,3,[0.05019218 0.0705024  0.05768315 0.82162226],"[('0.00 < BUSST <= 9.91', -0.3163548162926591), ('region_id > 348.50', 0.17340213966509685), ('registertype > 8.00', -0.16520583222942112), ('taxtype3 <= 0.00', -0.16331444085225072), ('taxtype0 <= 0.00', -0.1416817238764957), ('certificate_num <= 0.00', 0.13136985191629527), ('tax_dum <= 0.00', -0.1059696882997245), ('honor_num <= 0.00', 0.0975811066748167), ('EXENUM <= 0.00', 0.09182697467820436), ('LIMPARNUM <= 0.00', -0.08880138381837638)]"
788563071,1,[0.10172802 0.51592748 0.07078891 0.31155559],"[('0.00 < BUSST <= 9.91', 0.1404400144408005), ('INDUSTRYPHY <= 10.00', 0.1287463821775866), ('registertype <= 8.00', -0.10094627248439211), ('EXENUM <= 0.00', -0.08569228956609645), ('web_dum > 0.00', 0.08555641707746504), ('TRANSAM_delta <= 5.49', -0.06908627059056471), ('taxtype2 <= 0.00', 0.06765910643370004), ('tax_dum <= 0.00', -0.05867166668711319), ('honor_num <= 0.00', 0.0564111592390035), ('taxtype0 <= 0.00', 0.05537780741116988)]"
213823685,1,[0.04743851 0.58380141 0.02301289 0.3457472 ],"[('0.00 < BUSST <= 9.91', 0.1480522533908766), ('INDUSTRYPHY <= 10.00', 0.12833276770616475), ('registertype <= 8.00', -0.09633613531639058), ('EXENUM <= 0.00', -0.09242683804343069), ('taxtype3 <= 0.00', 0.088647500729768), ('taxtype4 <= 0.00', -0.08463102343905264), ('taxtype0 <= 0.00', -0.06809221288454903), ('honor_num <= 0.00', 0.06250917513675457), ('CONAM_delta <= 0.00', -0.06186906417345366), ('taxtype2 <= 0.00', 0.0598542811668088)]"
1233056751,3,[0.00675996 0.00730091 0.00766675 0.97827237],"[('9.91 < BUSST <= 11.00', 0.3030848683788766), ('registertype <= 8.00', 0.16000395687546343), ('certificate_num <= 0.00', 0.13152295697245817), ('EXENUM <= 0.00', 0.12282827077485861), ('tax_dum <= 0.00', -0.12114393703503719), ('taxtype4 <= 0.00', 0.11033329321745727), ('illegad_num <= 0.00', -0.10185376785558953), ('taxtype6 <= 0.00', 0.07826022272725408), ('taxtype1 <= 0.00', 0.07015766346244463), ('taxtype0 <= 0.00', 0.06811822193412892)]"
755138139,3,[0.11020396 0.11542812 0.07410819 0.70025973],"[('9.91 < BUSST <= 11.00', 0.3052528652560293), ('registertype > 8.00', -0.16031127577483326), ('certificate_num <= 0.00', 0.12554762798600938), ('taxtype1 <= 0.00', -0.09908600683681397), ('taxtype2 <= 0.00', 0.09477124966816354), ('so1 <= 0.00', 0.0852203485963406), ('ALTTIME > 9.00', -0.07270099416399986), ('ttype_abnormal_2 <= 0.00', 0.05781492996871779), ('honor_num <= 0.00', 0.05631182446195672), ('taxtype5 <= 0.00', -0.041707561518547084)]"
790451682,3,[0.03140419 0.30131318 0.03499248 0.63229014],"[('0.00 < BUSST <= 9.91', -0.3273059112273403), ('honor_num <= 0.00', 0.20221411147394877), ('ttype_abnormal_2 <= 0.00', 0.16402401009943945), ('registertype <= 8.00', 0.16042550387561422), ('certificate_num <= 0.00', 0.12061882184705303), ('TRANSAM_delta <= 5.49', 0.08982808548197133), ('PROGRO <= 3076.90', 0.0872441352875108), ('so1 <= 0.00', 0.08373205467968112), ('EXENUM <= 0.00', 0.06258136731826427), ('taxtype2 <= 0.00', -0.038286549677111564)]"
283130984,3,[0.00790369 0.02997957 0.00882082 0.95329592],"[('region_id > 348.50', 0.17701165192015111), ('BUSST > 11.00', 0.16879603256693218), ('registertype > 8.00', -0.15730951972512158), ('EXENUM <= 0.00', 0.15436960345068965), ('certificate_num <= 0.00', 0.1295941350975436), ('taxtype3 <= 0.00', -0.11535766594450513), ('taxtype1 <= 0.00', 0.113736289983705), ('taxtype6 <= 0.00', 0.054203301530253115), ('taxtype5 <= 0.00', 0.04422192322897095), ('tax_dum <= 0.00', -0.04405418528187095)]"
448358744,3,[0.01627334 0.03011991 0.03007728 0.92352946],"[('region_id > 348.50', 0.17935921857069329), ('honor_num <= 0.00', -0.17289718259066225), ('BUSST > 11.00', 0.17273604304261522), ('taxtype4 <= 0.00', 0.1530301895069211), ('registertype <= 8.00', 0.13981073920922593), ('certificate_num <= 0.00', 0.1371587041164441), ('tax_dum <= 0.00', -0.11649751315630194), ('LIMPARNUM <= 0.00', -0.10981179242560749), ('EXENUM <= 0.00', 0.09224230458290018), ('taxtype2 <= 0.00', 0.07396389783546169)]"
874134748,1,[0.05026238 0.63209193 0.24989913 0.06774656],"[('0.00 < BUSST <= 9.91', 0.14901364029731126), ('INDUSTRYPHY <= 10.00', 0.11938623640150152), ('registertype > 8.00', 0.1096818428292264), ('honor_num <= 0.00', -0.07477078706907699), ('LIMPARNUM <= 0.00', 0.07296792857333569), ('web_dum <= 0.00', -0.06732429838710997), ('taxtype0 <= 0.00', -0.06419694046819756), ('ALTTIME > 9.00', 0.0619462052560395), ('PROGRO <= 3076.90', -0.04577476028999619), ('tax_dum <= 0.00', -0.031045843001141188)]"
38096340,1,[0.03708342 0.52184223 0.15535181 0.28572254],"[('0.00 < BUSST <= 9.91', 0.1409335287918499), ('INDUSTRYPHY <= 10.00', 0.11670386906038675), ('registertype > 8.00', 0.10971334941222319), ('region_id > 348.50', -0.08033238066309337), ('taxtype6 <= 0.00', 0.07612609968800091), ('web_dum <= 0.00', -0.05977303206552983), ('taxtype4 <= 0.00', 0.055957335101520574), ('taxtype2 <= 0.00', 0.048718552349515616), ('taxtype0 <= 0.00', 0.048156984475760334), ('LIMPARNUM <= 0.00', 0.04712364116487529)]"
1217886527,2,[0.07872853 0.29466395 0.51663014 0.10997738],"[('certificate_num <= 0.00', -0.1676620286769317), ('0.00 < BUSST <= 9.91', 0.08031471734755145), ('ttype_abnormal_2 <= 0.00', -0.07429340703142705), ('so1 <= 0.00', -0.06720551479393712), ('PROGRO <= 3076.90', -0.06667300123600507), ('taxtype3 <= 0.00', -0.06666465658471786), ('taxtype6 <= 0.00', 0.05126378204485167), ('taxtype5 <= 0.00', 0.0476204057068337), ('EXENUM <= 0.00', 0.028838768002252907), ('taxtype0 <= 0.00', 0.020496887973603693)]"
444577310,3,[0.12859128 0.17768856 0.03960799 0.65411216],"[('0.00 < BUSST <= 9.91', -0.32340342809065575), ('honor_num <= 0.00', 0.17633993796953013), ('registertype <= 8.00', 0.16171562968374936), ('EXENUM <= 0.00', 0.12795204648694988), ('certificate_num <= 0.00', 0.12554150382680554), ('so1 <= 0.00', 0.09426475231891282), ('taxtype3 <= 0.00', -0.09328961791208305), ('taxtype4 <= 0.00', 0.08616669284169468), ('illegad_num <= 0.00', -0.07358925008486646), ('taxtype2 <= 0.00', 0.031077585417417834)]"
414892599,3,[0.00773848 0.04922185 0.00879569 0.93424398],"[('region_id > 348.50', 0.18881242570400325), ('taxtype4 <= 0.00', 0.1808950194174224), ('BUSST > 11.00', 0.17775831067925507), ('registertype > 8.00', -0.14870766149078252), ('LIMPARNUM <= 0.00', -0.14552677087981658), ('certificate_num <= 0.00', 0.11212896844995802), ('EXENUM <= 0.00', 0.1000043388625314), ('taxtype5 <= 0.00', -0.07930622266160113), ('tax_dum <= 0.00', -0.07871035655122088), ('taxtype2 <= 0.00', 0.07472515132341029)]"
1200033345,4,[0.12087522 0.13163206 0.2805858  0.46690692],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
332629236,3,[0.06707407 0.18598093 0.11248669 0.63445831],"[('0.00 < BUSST <= 9.91', -0.31847065247026013), ('region_id > 348.50', 0.18358585615838213), ('registertype > 8.00', -0.14187071270470863), ('certificate_num <= 0.00', 0.13893337018469382), ('tax_dum <= 0.00', -0.1347488709856364), ('illegad_num <= 0.00', -0.12288964365331354), ('taxtype3 <= 0.00', -0.11642319447858618), ('LIMPARNUM <= 0.00', 0.10769850154398981), ('taxtype2 <= 0.00', 0.10570186729628704), ('taxtype0 <= 0.00', 0.07585440018509967)]"
629404286,3,[0.02354803 0.04875616 0.00978184 0.91791397],"[('EXENUM <= 0.00', 0.2352346679179008), ('BUSST > 11.00', 0.1629242464981018), ('registertype > 8.00', -0.15122800416533186), ('certificate_num <= 0.00', 0.13041170730745233), ('taxtype3 <= 0.00', 0.1001397591114082), ('ttype_abnormal_2 <= 0.00', 0.09446197353511743), ('taxtype1 <= 0.00', -0.0918674598043677), ('taxtype2 <= 0.00', -0.09179911862019519), ('so1 <= 0.00', 0.07173882279692809), ('honor_num <= 0.00', -0.07100335576810188)]"
1134121154,4,[0.14289055 0.47745376 0.15775376 0.22190192],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
1088045711,3,[0.02475555 0.1075475  0.01415571 0.85354124],"[('BUSST > 11.00', 0.18594831122990718), ('registertype <= 8.00', 0.17131201301191407), ('certificate_num <= 0.00', 0.12683266649315816), ('tax_dum <= 0.00', 0.10252363183687753), ('taxtype6 <= 0.00', -0.09076421114121207), ('so1 <= 0.00', 0.07953677329643713), ('region_id <= 68.00', -0.07222724940195227), ('taxtype4 <= 0.00', 0.044527258580368226), ('taxtype3 <= 0.00', -0.03563879609891436), ('LIMPARNUM <= 0.00', -0.032873891486178725)]"
209502825,1,[0.04681754 0.57495073 0.02558483 0.3526469 ],"[('0.00 < BUSST <= 9.91', 0.1457974920994559), ('EXENUM <= 0.00', -0.13392719794046304), ('INDUSTRYPHY <= 10.00', 0.12866116273433992), ('registertype <= 8.00', -0.09799187345170185), ('honor_num <= 0.00', -0.08526284958789931), ('web_dum <= 0.00', -0.06416060325052254), ('taxtype2 <= 0.00', 0.06070745369275672), ('taxtype3 <= 0.00', 0.056418666799502894), ('CONAM_delta <= 0.00', -0.05405271860928593), ('LIMPARNUM <= 0.00', 0.03449021522713342)]"
479087523,3,[0.01336566 0.06577927 0.00663454 0.91422053],"[('BUSST > 11.00', 0.17094307429086694), ('registertype <= 8.00', 0.1649028639248197), ('taxtype3 <= 0.00', -0.13391748991012206), ('EXENUM <= 0.00', 0.12678534320677845), ('certificate_num <= 0.00', 0.12416445027769696), ('taxtype6 <= 0.00', -0.11907208593424104), ('tax_dum <= 0.00', -0.07426270272351236), ('so1 <= 0.00', 0.06899917403862495), ('taxtype1 <= 0.00', 0.0641728526248658), ('taxtype5 <= 0.00', 0.03474551075507696)]"
813462119,3,[0.01628573 0.01828892 0.01800967 0.94741568],"[('region_id > 348.50', 0.18304863591985712), ('taxtype1 <= 0.00', 0.16729817051815674), ('registertype > 8.00', -0.16117832584553254), ('BUSST > 11.00', 0.15078927224956173), ('taxtype2 <= 0.00', 0.14919499538236708), ('certificate_num <= 0.00', 0.13646055977429128), ('PROGRO <= 3076.90', -0.1089588189076871), ('taxtype0 <= 0.00', 0.10678845669690427), ('TRANSAM_delta <= 5.49', 0.06573451801703542), ('tax_dum <= 0.00', 0.06273095074705834)]"
15641748,4,[0.24026413 0.13414452 0.44818405 0.1774073 ],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
913734239,1,[0.08038676 0.56069818 0.08919981 0.26971525],"[('0.00 < BUSST <= 9.91', 0.14394883653146226), ('INDUSTRYPHY <= 10.00', 0.12588259824025083), ('registertype > 8.00', 0.10759002555951219), ('EXENUM <= 0.00', -0.09324811062081352), ('taxtype6 <= 0.00', 0.09003270982744532), ('region_id > 348.50', -0.07219881197685521), ('PROGRO <= 3076.90', 0.06943005223932071), ('LIMPARNUM <= 0.00', 0.054445391611553755), ('taxtype0 <= 0.00', -0.04020747183346641), ('honor_num <= 0.00', 0.02995797232481935)]"
247942982,3,[0.09614347 0.01037915 0.00750186 0.88597552],"[('LIMPARNUM <= 0.00', 0.18593232491358186), ('registertype <= 8.00', 0.16626202169194956), ('tax_dum <= 0.00', -0.14609523409401706), ('BUSST > 11.00', 0.14527681718085228), ('taxtype4 <= 0.00', 0.1333702446159283), ('certificate_num <= 0.00', 0.12795183030057383), ('PROGRO <= 3076.90', -0.10119479055363588), ('taxtype6 <= 0.00', -0.10024804143009265), ('province_1 <= 0.00', 0.09444065956322821), ('taxtype2 <= 0.00', -0.08807698886209006)]"
819325590,4,[0.123013   0.30027817 0.19283282 0.38387601],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
200451685,1,[0.07099656 0.5062001  0.17459943 0.24820391],"[('0.00 < BUSST <= 9.91', 0.14091252354367545), ('registertype > 8.00', 0.10381982723954271), ('EXENUM <= 0.00', -0.0951161398490248), ('taxtype0 <= 0.00', -0.09457252559406856), ('taxtype4 <= 0.00', 0.08328397760500254), ('region_id > 348.50', -0.07688328428871985), ('web_dum <= 0.00', -0.05718278809581589), ('ttype_shareholder_1.0 <= 0.00', -0.05574110962081025), ('taxtype6 <= 0.00', -0.05511228411045038), ('honor_num <= 0.00', 0.05348332465662345)]"
755524244,3,[0.00742352 0.03223181 0.00741985 0.95292481],"[('BUSST > 11.00', 0.16804934077224204), ('registertype <= 8.00', 0.15411672861384876), ('taxtype1 <= 0.00', 0.11788668319718684), ('ttype_abnormal_2 <= 0.00', 0.11074879796341063), ('certificate_num <= 0.00', 0.10760729065879279), ('TRANSAM_delta <= 5.49', -0.10415551992348797), ('taxtype5 <= 0.00', 0.08999263221336111), ('honor_num <= 0.00', 0.08251853363337187), ('so1 <= 0.00', 0.06853708195314054), ('tax_dum <= 0.00', 0.064298337538684)]"
219879421,3,[0.15855301 0.26207036 0.05795335 0.52142328],"[('0.00 < BUSST <= 9.91', -0.3130790024956438), ('region_id > 348.50', 0.19132051643225498), ('registertype > 8.00', -0.1573285709408809), ('certificate_num <= 0.00', 0.12959198941809816), ('EXENUM <= 0.00', 0.11854540498235915), ('honor_num <= 0.00', 0.07865944206271837), ('so1 <= 0.00', 0.07070486375499799), ('-1.00 < entertype_tax <= 0.00', -0.0683522872453491), ('taxtype4 <= 0.00', 0.0663026011680194), ('taxtype6 <= 0.00', 0.035410059470786494)]"
69231525,3,[0.0076873  0.02415083 0.00787703 0.96028485],"[('LIMPARNUM <= 0.00', 0.2309452446221222), ('BUSST > 11.00', 0.1927691725437191), ('region_id > 348.50', 0.18507796786850383), ('registertype > 8.00', -0.1535751503880815), ('certificate_num <= 0.00', 0.1209543990416634), ('tax_dum <= 0.00', -0.11594013434949477), ('taxtype6 <= 0.00', -0.08063791310410887), ('so1 <= 0.00', 0.07929559267598231), ('taxtype3 <= 0.00', -0.0721813101186986), ('honor_num <= 0.00', 0.05775068928454982)]"
897504054,3,[0.03493848 0.14920346 0.15240794 0.66345012],"[('taxtype1 <= 0.00', -0.1850999065656689), ('region_id > 348.50', 0.17762168839943682), ('BUSST > 11.00', 0.1685110777492845), ('registertype > 8.00', -0.15204622188925346), ('certificate_num <= 0.00', 0.12688188040587517), ('TRANSAM_delta <= 5.49', -0.10082470417381165), ('so1 <= 0.00', 0.08608917481690247), ('taxtype6 <= 0.00', -0.08233306050565187), ('province_1 <= 0.00', -0.07824171494292163), ('cancel_dum <= 0.00', 0.06251547083656418)]"
935895460,4,[0.06609493 0.40496045 0.29969691 0.22924771],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
917987559,3,[0.00819569 0.01404705 0.00696424 0.97079302],"[('LIMPARNUM <= 0.00', -0.18300288257640987), ('BUSST > 11.00', 0.1815073114372131), ('registertype <= 8.00', 0.15540530947836043), ('taxtype1 <= 0.00', 0.13789558124200763), ('certificate_num <= 0.00', 0.1358273002373139), ('tax_dum <= 0.00', -0.12358650750546711), ('taxtype2 <= 0.00', -0.11707491127807935), ('taxtype6 <= 0.00', -0.1014752384083521), ('taxtype3 <= 0.00', -0.09992226880564695), ('so1 <= 0.00', 0.08671853933140711)]"
818330518,3,[0.00847912 0.05756634 0.00757705 0.9263775 ],"[('BUSST > 11.00', 0.18864955739173073), ('registertype <= 8.00', 0.16167165366331446), ('certificate_num <= 0.00', 0.12544783355750244), ('EXENUM <= 0.00', 0.11856354249300045), ('taxtype2 <= 0.00', 0.11129453280432093), ('taxtype5 <= 0.00', -0.10648317509045699), ('taxtype3 <= 0.00', 0.09729175992057115), ('ttype_abnormal_2 <= 0.00', 0.09695519971819222), ('tax_dum <= 0.00', -0.08907198414398046), ('honor_num <= 0.00', -0.0779908366922394)]"
1020606618,4,[0.05230884 0.44281871 0.32280248 0.18206998],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
252468268,3,[0.01401714 0.07015582 0.0143631  0.90146395],"[('taxtype6 <= 0.00', -0.19360842830887826), ('region_id > 348.50', 0.18158991181095477), ('BUSST > 11.00', 0.1664195992237129), ('registertype > 8.00', -0.16433606741988566), ('taxtype1 <= 0.00', -0.14048855301074734), ('certificate_num <= 0.00', 0.13197396064043562), ('tax_dum <= 0.00', 0.10473361472726007), ('province_1 <= 0.00', -0.10175757472729788), ('honor_num <= 0.00', -0.09687136702430986), ('taxtype3 <= 0.00', -0.03530751230722082)]"
985979959,3,[0.05102746 0.08528467 0.06107342 0.80261445],"[('0.00 < BUSST <= 9.91', -0.31431963964183524), ('region_id > 348.50', 0.1894256459795245), ('registertype > 8.00', -0.16433655891492477), ('certificate_num <= 0.00', 0.12358559796442735), ('LIMPARNUM <= 0.00', 0.08269569609748721), ('taxtype6 <= 0.00', -0.08112199741470716), ('so1 <= 0.00', 0.07868878250160327), ('taxtype0 <= 0.00', 0.06184237263067938), ('honor_num <= 0.00', -0.04469545370968084), ('tax_dum <= 0.00', -0.04242315704375262)]"
968736980,1,[0.037737   0.73509832 0.02599828 0.2011664 ],"[('taxtype6 <= 0.00', -0.14958610577041268), ('0.00 < BUSST <= 9.91', 0.1460838757366242), ('INDUSTRYPHY <= 10.00', 0.12788783712752455), ('EXENUM <= 0.00', -0.12293152429099839), ('registertype <= 8.00', -0.09919839706934552), ('taxtype5 <= 0.00', 0.0757237197123511), ('web_dum <= 0.00', -0.0667839112498545), ('LIMPARNUM <= 0.00', -0.06039058013148721), ('CONAM_delta <= 0.00', -0.040235980948990335), ('taxtype0 <= 0.00', -0.028079167224740288)]"
